x	 y
0.0218	 0.5356
0.2212	 0.7366
0.3557	 0.2815
0.8644	 0.1883
0.9124	 0.9334
0.0203	 0.9569
0.5577	 0.8930
0.0897	 0.3269
0.1649	 0.9403
0.3690	 0.5475
0.0614	 0.6314
0.3892	 0.7749
0.5112	 0.2604
0.5016	 0.8485
0.8405	 0.2907
0.6174	 0.8624
0.8262	 0.8386
0.5990	 0.1819
0.1201	 0.4634
0.3702	 0.0325
0.3968	 0.3905
0.9895	 0.9545
0.2835	 0.0792
0.2813	 0.4483
0.0195	 0.6503
0.9959	 0.0809
0.2817	 0.3851
0.8558	 0.7930
0.6455	 0.3574
0.6415	 0.4860
0.6480	 0.2589
0.3484	 0.4743
0.0975	 0.9474
0.6562	 0.2176
0.4108	 0.0264
0.2501	 0.8076
0.4169	 0.2396
0.7621	 0.7004
0.3188	 0.0434
0.1488	 0.3382
0.6938	 0.1446
0.4191	 0.9755
0.5297	 0.2749
0.7685	 0.1752
0.6322	 0.4100
0.6612	 0.2803
0.6688	 0.0096
0.7546	 0.7663
0.9569	 0.4108
0.9838	 0.3677
0.4372	 0.2339
0.1753	 0.8541
0.4735	 0.9374
0.5546	 0.7923
0.9809	 0.7033
0.1305	 0.6747
0.8480	 0.5496
0.6502	 0.3777
0.8244	 0.4187
0.5529	 0.4567
0.8287	 0.2141
0.7369	 0.4975
0.2236	 0.4915
0.2638	 0.1805
0.9023	 0.2476
0.5483	 0.3395
0.4816	 0.7236
0.1936	 0.9551
0.6610	 0.7482
0.7473	 0.6419
0.4515	 0.8778
0.3166	 0.2995
0.4273	 0.9668
0.6772	 0.2518
0.3854	 0.2300
0.7084	 0.2141
0.4441	 0.4454
0.7116	 0.6677
0.9369	 0.9753
0.8483	 0.8391
0.2230	 0.3965
0.1786	 0.7045
0.1201	 0.3722
0.6596	 0.7811
0.1204	 0.4069
0.4230	 0.5719
0.2847	 0.7396
0.8714	 0.7120
0.7063	 0.5485
0.9638	 0.0918
0.7786	 0.6722
0.3059	 0.2227
0.1176	 0.0174
0.8904	 0.0544
0.9928	 0.7387
0.8936	 0.2157
0.1352	 0.0722
0.9202	 0.2553
0.4444	 0.5798
0.0364	 0.5648
